date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:06:39	354167/354167	---M-Z	200	added ('OK')	text/html	etag:W/%222d9c742ada180bc94206464769900e02%22	https://bean-perfume.mysapo.net/	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/index.html	(from )
08:06:39	89/89	---M-Z	200	added ('OK')	text/plain	etag:W/%22e4ac9986b8f10b8c12234fc4359403e2%22	https://bean-perfume.mysapo.net/robots.txt		(from )
08:06:40	18826/18826	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Mar%202024%2001:06:39%20GMT	https://bizweb.dktcdn.net/100/503/826/themes/932476/assets/logo.png?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/logo02fb.png	(from https://bean-perfume.mysapo.net/)
08:06:40	3788/3788	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Mar%202024%2010:12:49%20GMT	http://bizweb.dktcdn.net/100/503/826/themes/932476/assets/favicon.png?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/favicon02fb.png	(from https://bean-perfume.mysapo.net/)
08:06:41	5554/5554	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2029%20Feb%202024%2003:20:28%20GMT	http://bizweb.dktcdn.net/100/503/826/themes/932476/assets/lazy.js?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/lazy02fb.js	(from https://bean-perfume.mysapo.net/)
08:06:42	56867/56867	---MCZ	200	added ('OK')	text/css	date:Fri,%2008%20Mar%202024%2001:06:41%20GMT	http://bizweb.dktcdn.net/100/503/826/themes/932476/assets/main.scss.css?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/main.scss02fb.css	(from https://bean-perfume.mysapo.net/)
08:06:42	47260/47260	---MCZ	200	added ('OK')	text/css	date:Thu,%2029%20Feb%202024%2003:20:20%20GMT	http://bizweb.dktcdn.net/100/503/826/themes/932476/assets/index.scss.css?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/index.scss02fb.css	(from https://bean-perfume.mysapo.net/)
08:06:43	26971/26971	---MCZ	200	added ('OK')	text/css	date:Thu,%2029%20Feb%202024%2002:52:25%20GMT	http://bizweb.dktcdn.net/100/503/826/themes/932476/assets/bootstrap-4-3-min.css?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/bootstrap-4-3-min02fb.css	(from https://bean-perfume.mysapo.net/)
08:06:43	13451/13451	---MCZ	200	added ('OK')	text/css	date:Thu,%2029%20Feb%202024%2003:20:28%20GMT	http://bizweb.dktcdn.net/100/503/826/themes/932476/assets/swiper.scss.css?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/swiper.scss02fb.css	(from https://bean-perfume.mysapo.net/)
08:06:43	6446/6446	---MCZ	200	added ('OK')	text/css	date:Thu,%2029%20Feb%202024%2003:20:28%20GMT	http://bizweb.dktcdn.net/100/503/826/themes/932476/assets/quickviews_popup_cart.scss.css?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/quickviews_popup_cart.scss02fb.css	(from https://bean-perfume.mysapo.net/)
08:06:46	251281/251281	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22c930dd8721cf93758263f0319594325c%22	https://bean-perfume.mysapo.net/s	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/s.a.delayed	(from https://bean-perfume.mysapo.net/)
08:06:47	85604/85604	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2029%20Feb%202024%2003:20:28%20GMT	http://bizweb.dktcdn.net/100/503/826/themes/932476/assets/jquery.js?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/jquery02fb.js	(from https://bean-perfume.mysapo.net/)
08:06:47	96594/96594	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2029%20Feb%202024%2003:20:20%20GMT	http://bizweb.dktcdn.net/100/503/826/themes/932476/assets/swiper.js?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/swiper02fb.js	(from https://bean-perfume.mysapo.net/)
08:06:47	8964/8964	---MCZ	200	added ('OK')	application/javascript	etag:W/%221da6bb157f64684%22	https://bean-perfume.mysapo.net/dist/js/stats.min.js?v=f021d1e	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/dist/js/stats.min8612.js	(from https://bean-perfume.mysapo.net/)
08:06:48	261542/261542	---M-Z	200	added ('OK')	text/html	etag:W/%222e47864b7f192e35fcc90141485c67b2%22	https://bean-perfume.mysapo.net/he-thong-cua-hang	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/he-thong-cua-hang.html	(from https://bean-perfume.mysapo.net/)
08:06:48	282022/282022	---M-Z	200	added ('OK')	text/html	etag:W/%2296846a950bba822dfd1d59ee2e349b4c%22	https://bean-perfume.mysapo.net/gioi-thieu	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/gioi-thieu.html	(from https://bean-perfume.mysapo.net/)
08:06:49	296480/296480	---M-Z	200	added ('OK')	text/html	etag:W/%2216a7b5a5962a5244034d9965b3511b7a%22	https://bean-perfume.mysapo.net/thuong-hieu	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/thuong-hieu.html	(from https://bean-perfume.mysapo.net/)
08:06:50	310294/310294	---M-Z	200	added ('OK')	text/html	etag:W/%225290af78108e9ef532c44ebb39c26516%22	https://bean-perfume.mysapo.net/afnan	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/afnan.html	(from https://bean-perfume.mysapo.net/)
08:06:50	310374/310374	---M-Z	200	added ('OK')	text/html	etag:W/%227458b3ebf6c0c741269604477e32e782%22	https://bean-perfume.mysapo.net/ariana-grande	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/ariana-grande.html	(from https://bean-perfume.mysapo.net/)
08:06:51	310384/310384	---M-Z	200	added ('OK')	text/html	etag:W/%22625029e3a4f3cbfa9ede974a71ac3032%22	https://bean-perfume.mysapo.net/alfred-dunhill	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/alfred-dunhill.html	(from https://bean-perfume.mysapo.net/)
08:06:51	310294/310294	---M-Z	200	added ('OK')	text/html	etag:W/%22a8740d4957b38ad8a076257975c67ee1%22	https://bean-perfume.mysapo.net/armaf	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/armaf.html	(from https://bean-perfume.mysapo.net/)
08:06:51	310341/310341	---M-Z	200	added ('OK')	text/html	etag:W/%22822df8fe1fc1850aa335bc3ea3e40b10%22	https://bean-perfume.mysapo.net/bond-no-9	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/bond-no-9.html	(from https://bean-perfume.mysapo.net/)
08:06:52	310314/310314	---M-Z	200	added ('OK')	text/html	etag:W/%22815742a460be33ef98fe6fb303d1c04e%22	https://bean-perfume.mysapo.net/balmain	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/balmain.html	(from https://bean-perfume.mysapo.net/)
08:06:52	310304/310304	---M-Z	200	added ('OK')	text/html	etag:W/%226ad4440f4b60b96ddd403cdcbd51ef4d%22	https://bean-perfume.mysapo.net/byredo	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/byredo.html	(from https://bean-perfume.mysapo.net/)
08:06:53	310324/310324	---M-Z	200	added ('OK')	text/html	etag:W/%227bb63ad42a300daba0e5fa18e87c3e16%22	https://bean-perfume.mysapo.net/burberry	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/burberry.html	(from https://bean-perfume.mysapo.net/)
08:06:53	310314/310314	---M-Z	200	added ('OK')	text/html	etag:W/%221175eca3c538d265e7c1879193ad6ecb%22	https://bean-perfume.mysapo.net/chopard	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/chopard.html	(from https://bean-perfume.mysapo.net/)
08:06:54	310314/310314	---M-Z	200	added ('OK')	text/html	etag:W/%223a96c3f3cfe5d8f1370f145cea11bf99%22	https://bean-perfume.mysapo.net/cartier	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/cartier.html	(from https://bean-perfume.mysapo.net/)
08:06:54	310384/310384	---M-Z	200	added ('OK')	text/html	etag:W/%22922ccda43b814461252bb78bbfca5c46%22	https://bean-perfume.mysapo.net/christian-dior	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/christian-dior.html	(from https://bean-perfume.mysapo.net/)
08:06:55	310364/310364	---M-Z	200	added ('OK')	text/html	etag:W/%22da6fe9c72a96b394530195c2fe5e1711%22	https://bean-perfume.mysapo.net/calvin-klein	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/calvin-klein.html	(from https://bean-perfume.mysapo.net/)
08:06:55	310304/310304	---M-Z	200	added ('OK')	text/html	etag:W/%22ea4a2b8d2c46fa2951b448715c8a9e71%22	https://bean-perfume.mysapo.net/diesel	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/diesel.html	(from https://bean-perfume.mysapo.net/)
08:06:56	310324/310324	---M-Z	200	added ('OK')	text/html	etag:W/%2202ccb6930b53858bdc01277583690759%22	https://bean-perfume.mysapo.net/diptyque	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/diptyque.html	(from https://bean-perfume.mysapo.net/)
08:06:56	310354/310354	---M-Z	200	added ('OK')	text/html	etag:W/%22681431437179632d208ade683226c304%22	https://bean-perfume.mysapo.net/donna-karan	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/donna-karan.html	(from https://bean-perfume.mysapo.net/)
08:06:57	310324/310324	---M-Z	200	added ('OK')	text/html	etag:W/%22a8672e11f1a6ab265d5f1256e987a1e9%22	https://bean-perfume.mysapo.net/davidoff	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/davidoff.html	(from https://bean-perfume.mysapo.net/)
08:07:00	318317/318317	---M-Z	200	added ('OK')	text/html	etag:W/%226836e094f4bede44f9e1283cf7c256e4%22	https://bean-perfume.mysapo.net/collections/all	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/collections/all.html	(from https://bean-perfume.mysapo.net/)
08:07:00	68/68	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Mar%202024%2001:06:56%20GMT	http://bizweb.dktcdn.net/100/503/826/themes/932476/assets/lazy.png?1709175143725	C:/My%20Web%20Sites/testduan1/bizweb.dktcdn.net/100/503/826/themes/932476/assets/lazy02fb.png	(from https://bean-perfume.mysapo.net/)
08:07:00	305150/305150	---M-Z	200	added ('OK')	text/html	etag:W/%2230357f7d4783855fc2704e1e973985c9%22	https://bean-perfume.mysapo.net/nuoc-hoa-nam	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/nuoc-hoa-nam.html	(from https://bean-perfume.mysapo.net/)
08:07:01	305017/305017	---M-Z	200	added ('OK')	text/html	etag:W/%22826914a700523f30caeb13aeb3247c35%22	https://bean-perfume.mysapo.net/nuoc-hoa-nu	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/nuoc-hoa-nu.html	(from https://bean-perfume.mysapo.net/)
08:07:01	290358/290358	---M-Z	200	added ('OK')	text/html	etag:W/%2288bb6806adac376f3fa91ea97e94652e%22	https://bean-perfume.mysapo.net/nuoc-hoa-unisex	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/nuoc-hoa-unisex.html	(from https://bean-perfume.mysapo.net/)
08:07:02	270522/270522	---M-Z	200	added ('OK')	text/html	etag:W/%22acb01c90f45c001349e25122582c9004%22	https://bean-perfume.mysapo.net/tin-tuc	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/tin-tuc.html	(from https://bean-perfume.mysapo.net/)
08:07:04	257847/257847	---M-Z	200	added ('OK')	text/html	etag:W/%228ffe233fd6e469a6e202c279df19dc6c%22	https://bean-perfume.mysapo.net/lien-he	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/lien-he.html	(from https://bean-perfume.mysapo.net/)
08:07:05	257115/257115	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Mar%202024%2001:07:02%20GMT	https://bean-perfume.mysapo.net/account/register	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/account/register.html	(from https://bean-perfume.mysapo.net/)
08:07:05	256938/256938	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Mar%202024%2001:07:04%20GMT	https://bean-perfume.mysapo.net/account/login	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/account/login.html	(from https://bean-perfume.mysapo.net/)
08:07:05	253190/253190	---M-Z	200	added ('OK')	text/html	etag:W/%22c354492bcae6a542b135cca71b6da6ed%22	https://bean-perfume.mysapo.net/san-pham-yeu-thich	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/san-pham-yeu-thich.html	(from https://bean-perfume.mysapo.net/)
08:07:06	272640/272640	---M-Z	200	added ('OK')	text/html	etag:W/%2225cffddac4d2642734692380df534169%22	https://bean-perfume.mysapo.net/cart	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/cart.html	(from https://bean-perfume.mysapo.net/)
08:07:06	323387/323387	---M-Z	200	added ('OK')	text/html	etag:W/%229cbd2c924479fca40edaab0907b04440%22	https://bean-perfume.mysapo.net/unisex-creed-millesime-imperial	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/unisex-creed-millesime-imperial.html	(from https://bean-perfume.mysapo.net/)
08:07:07	323483/323483	---M-Z	200	added ('OK')	text/html	etag:W/%22a8343f0cda6822746bdbe9b954ba56c5%22	https://bean-perfume.mysapo.net/nuoc-hoa-unisex-gucci-the-virgin-violet	C:/My%20Web%20Sites/testduan1/bean-perfume.mysapo.net/nuoc-hoa-unisex-gucci-the-virgin-violet.html	(from https://bean-perfume.mysapo.net/)
